Week,Stocks: (Worldwide)
2019-11-24,15
2019-12-01,17
2019-12-08,16
2019-12-15,17
2019-12-22,16
2019-12-29,20
2020-01-05,22
2020-01-12,21
2020-01-19,20
2020-01-26,21
2020-02-02,25
2020-02-09,23
2020-02-16,22
2020-02-23,37
2020-03-01,33
2020-03-08,61
2020-03-15,69
2020-03-22,61
2020-03-29,46
2020-04-05,43
2020-04-12,45
2020-04-19,49
2020-04-26,43
2020-05-03,40
2020-05-10,35
2020-05-17,36
2020-05-24,33
2020-05-31,43
2020-06-07,49
2020-06-14,37
2020-06-21,34
2020-06-28,30
2020-07-05,34
2020-07-12,33
2020-07-19,33
2020-07-26,34
2020-08-02,32
2020-08-09,32
2020-08-16,31
2020-08-23,33
2020-08-30,38
2020-09-06,28
2020-09-13,28
2020-09-20,27
2020-09-27,24
2020-10-04,25
2020-10-11,25
2020-10-18,24
2020-10-25,24
2020-11-01,24
2020-11-08,32
2020-11-15,33
2020-11-22,32
2020-11-29,36
2020-12-06,37
2020-12-13,33
2020-12-20,32
2020-12-27,36
2021-01-03,48
2021-01-10,52
2021-01-17,45
2021-01-24,100
2021-01-31,81
2021-02-07,69
2021-02-14,53
2021-02-21,51
2021-02-28,42
2021-03-07,44
2021-03-14,37
2021-03-21,35
2021-03-28,30
2021-04-04,31
2021-04-11,37
2021-04-18,38
2021-04-25,34
2021-05-02,40
2021-05-09,43
2021-05-16,33
2021-05-23,34
2021-05-30,38
2021-06-06,36
2021-06-13,33
2021-06-20,29
2021-06-27,29
2021-07-04,27
2021-07-11,26
2021-07-18,26
2021-07-25,26
2021-08-01,26
2021-08-08,26
2021-08-15,24
2021-08-22,26
2021-08-29,26
2021-09-05,23
2021-09-12,25
2021-09-19,25
2021-09-26,25
2021-10-03,28
2021-10-10,28
2021-10-17,29
2021-10-24,30
2021-10-31,30
2021-11-07,31
2021-11-14,29
2021-11-21,27
2021-11-28,29
2021-12-05,26
2021-12-12,27
2021-12-19,25
2021-12-26,28
2022-01-02,35
2022-01-09,33
2022-01-16,32
2022-01-23,33
2022-01-30,33
2022-02-06,29
2022-02-13,29
2022-02-20,32
2022-02-27,30
2022-03-06,31
2022-03-13,27
2022-03-20,27
2022-03-27,28
2022-04-03,30
2022-04-10,26
2022-04-17,27
2022-04-24,28
2022-05-01,26
2022-05-08,28
2022-05-15,24
2022-05-22,23
2022-05-29,20
2022-06-05,21
2022-06-12,25
2022-06-19,20
2022-06-26,18
2022-07-03,18
2022-07-10,19
2022-07-17,21
2022-07-24,21
2022-07-31,22
2022-08-07,22
2022-08-14,23
2022-08-21,22
2022-08-28,22
2022-09-04,20
2022-09-11,22
2022-09-18,22
2022-09-25,21
2022-10-02,21
2022-10-09,20
2022-10-16,19
2022-10-23,21
2022-10-30,22
2022-11-06,23
2022-11-13,22
2022-11-20,17
2022-11-27,20
2022-12-04,20
2022-12-11,20
2022-12-18,19
2022-12-25,20
2023-01-01,22
2023-01-08,22
2023-01-15,20
2023-01-22,22
2023-01-29,27
2023-02-05,25
